scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps,forced_over_threshold
A2_sens_minus,54,A2,-1,54,10.31690909788951,0.2146479039870144,48.06433655421883,3,Sasso/Robasacco-Sud,245.0,1,81.6,8,0.0,81.6,91.6,0,46.0,245.0,9.873803583402662,0.44310551448684876,52.588736476818525,100.0,3,3,1,0,0
A2_sens_minus,55,A2,-1,55,77.44658507414447,0.19790430049402197,391.3335126160327,18,Sonnenberg-Ost,23.0,1,215.8,21,15.0,230.8,240.8,0,268.0,23.0,53.03835253239789,24.408232541746578,4.551798911362505,100.0,18,18,1,0,0
A2_sens_minus,56,A2,-1,56,46.40714543639967,0.20380425919682862,227.7044926307497,14,Knutwil-Nord,70.0,1,188.6,18,0.0,188.6,198.6,0,221.0,70.0,45.04074128249913,1.3664041539005396,14.266298143778004,100.0,14,14,1,0,0
A2_sens_minus,57,A2,-1,57,55.89044870569698,0.21939583464977802,254.74708211719246,16,Eggberg,39.0,1,208.2,20,4.0,212.2,222.2,0,252.0,39.0,55.287750331744064,0.6026983739529186,8.556437551341343,100.0,16,16,1,0,0
A2_sens_minus,58,A2,-1,58,74.10625304451614,0.23471118623340945,315.73379281045806,17,Mühlematt-Ost,28.0,1,215.79999999999998,21,4.0,219.79999999999998,229.79999999999998,0,263.0,28.0,61.729041979386686,12.377211065129451,6.571913214535464,100.0,17,18,0,1,0
A2_sens_minus,59,A2,-1,59,71.05976303401374,0.2137012252768618,332.5192120070995,17,Mühlematt-Ost,28.0,1,216.79999999999998,21,13.0,229.79999999999998,239.79999999999998,0,263.0,28.0,56.20342224781466,14.856340786199084,5.983634307752131,100.0,17,18,0,1,0
A2_sens_minus,60,A2,-1,60,78.95472521199211,0.23310113739841695,338.7144571373006,16,Eggberg,39.0,1,211.2,21,11.0,222.2,232.2,0,252.0,39.0,58.74148662440107,20.213238587591043,9.09094435853826,100.0,16,18,0,2,0
A2_sens_minus,61,A2,-1,61,35.75608293365455,0.24737461529080618,144.54224776305674,9,Wiler,156.0,1,142.0,14,7.0,149.0,159.0,0,135.0,156.0,33.39557306425883,2.360509869395713,38.59043998536576,100.0,9,9,1,0,0
A2_sens_minus,62,A2,-1,62,25.503564275147674,0.24889508467594096,102.46712709635497,7,Lavorgo,201.0,1,116.0,11,1.0,117.0,127.0,0,90.0,201.0,22.400557620834686,3.1030066543129884,50.02791201986413,100.0,7,7,1,0,0
A2_sens_minus,63,A2,-1,63,11.016286577170522,0.189269301179106,58.204296779992774,4,Bellinzona-Sud,238.0,4,94.8,9,0.0,94.8,104.8,2,53.0,238.0,10.031272962492618,0.9850136146779036,45.04609368062723,100.0,4,4,1,0,0
A2_sens_minus,64,A2,-1,64,41.68456409644908,0.17417787336117427,239.32181104319835,14,Knutwil-Nord,70.0,1,196.6,19,2.0,198.6,208.6,0,221.0,70.0,38.493310012819514,3.191254083629566,12.192451135282198,100.0,14,14,1,0,0
A2_sens_minus,65,A2,-1,65,58.52041108432609,0.23627649168992942,247.6776706212637,15,Gunzgen-Nord,45.0,1,212.6,21,0.0,212.6,222.6,0,246.0,45.0,58.12401695572264,0.396394128603454,10.632442126046824,100.0,15,15,1,0,0
A2_sens_minus,66,A2,-1,66,55.3214104987685,0.18303682673526964,302.2419667424694,18,Sonnenberg-Ost,23.0,1,226.8,22,14.0,240.8,250.8,0,268.0,23.0,49.05386956505226,6.267540933716241,4.209847014911202,100.0,18,18,1,0,0
A2_sens_minus,67,A2,-1,67,80.30529753865117,0.23062421221481516,348.2084416351338,17,Mühlematt-Ost,28.0,1,224.79999999999998,22,15.0,239.79999999999998,249.79999999999998,0,263.0,28.0,60.65416781249639,19.651129726154785,6.457477942014824,100.0,17,18,0,1,0
A2_sens_minus,68,A2,-1,68,76.2222658451353,0.17016560062086175,447.92993159036104,16,Eggberg,39.0,1,219.2,21,13.0,232.2,242.2,0,252.0,39.0,42.88173135645716,33.34053448867814,6.636458424213608,100.0,16,18,0,2,0
A2_sens_minus,69,A2,-1,69,49.722823159663605,0.16748923291841325,296.8717588185768,15,Gunzgen-Nord,45.0,1,216.6,21,6.0,222.6,232.6,0,246.0,45.0,41.20235129792966,8.520471861733945,7.537015481328596,100.0,15,18,0,3,0
A2_sens_minus,70,A2,-1,70,19.815282266046303,0.19338611706832634,102.46486441963802,7,Lavorgo,201.0,1,124.0,12,3.0,127.0,137.0,0,90.0,201.0,17.404750536149372,2.410531729896931,38.870609530733596,100.0,7,7,1,0,0
A2_sens_minus,71,A2,-1,71,50.04612814520776,0.189178852339215,264.5439885398526,15,Gunzgen-Nord,45.0,1,218.6,21,14.0,232.6,242.6,0,246.0,45.0,46.53799767544689,3.5081304697608715,8.513048355264674,100.0,15,17,0,2,0
A2_sens_minus,72,A2,-1,72,83.55888712797457,0.15815737520388515,528.3274777433328,14,Knutwil-Nord,70.0,1,204.6,20,4.0,208.6,218.6,0,221.0,70.0,34.95277992005862,48.606107207915954,11.071016264271961,100.0,14,18,0,4,0
A2_sens_minus,73,A2,-1,73,80.46846488632382,0.24585659265929863,327.2983816131985,14,Knutwil-Nord,70.0,1,205.6,20,13.0,218.6,228.6,0,221.0,70.0,54.334306977705,26.134157908618818,17.209961486150902,100.0,14,18,0,4,0
A2_sens_minus,74,A2,-1,74,63.92604746451177,0.18241756149019442,350.4380112434954,13,Kirchbühl,81.0,1,200.0,20,0.0,200.0,210.0,0,210.0,81.0,38.30768791294083,25.61835955157094,14.775822480705749,100.0,13,18,0,5,0
A2_sens_minus,75,A2,-1,75,62.712459181602576,0.16157269909314212,388.1377208748033,18,Sonnenberg-Ost,23.0,1,235.8,23,15.0,250.8,260.8,0,268.0,23.0,43.30148335696209,19.410975824640488,3.7161720791422685,100.0,18,18,1,0,0
A2_sens_minus,76,A2,-1,76,76.32256950231995,0.1746934202316557,436.89435698900894,16,Eggberg,39.0,1,227.2,22,15.0,242.2,252.2,0,252.0,39.0,44.02274189837724,32.29982760394271,6.813043389034573,100.0,16,18,0,2,0
A2_sens_minus,77,A2,-1,77,64.96307285398206,0.1573113967061899,412.9584646388553,17,Mühlematt-Ost,28.0,1,234.79999999999998,23,15.0,249.79999999999998,259.79999999999995,0,263.0,28.0,41.37289733372794,23.590175520254114,4.404719107773317,100.0,17,18,0,1,0
A2_sens_minus,78,A2,-1,78,59.935428079460344,0.2061043366979878,290.8013923418114,13,Kirchbühl,81.0,1,204.0,20,6.0,210.0,220.0,0,210.0,81.0,43.28191070657744,16.653517372882902,16.694451272537012,100.0,13,18,0,5,0
